,word,2021,企業名_x,2022,企業名_y
0,持続可能,11,"['株式会社みずほ銀行', '株式会社みずほフィナンシャルグループ', '株式会社商工組合中央金庫', '株式会社新生銀行', '株式会社北洋銀行', '株式会社あおぞら銀行', '株式会社ふくおかフィナンシャルグループ', '株式会社福岡銀行', '株式会社東京きらぼしフィナンシャルグループ', '株式会社三井住友銀行', '株式会社三井住友フィナンシャルグループ']",15,"['株式会社三井住友銀行', '株式会社三井住友フィナンシャルグループ', '株式会社東京きらぼしフィナンシャルグループ', '株式会社みずほフィナンシャルグループ', '株式会社みずほ銀行', '株式会社新生銀行', '株式会社商工組合中央金庫', '株式会社第四北越フィナンシャルグループ', '三井住友信託銀行株式会社', '三井住友トラスト・ホールディングス株式会社', '株式会社北洋銀行', '株式会社\u3000りそなホールディングス', '株式会社りそな銀行', '株式会社福岡銀行', '株式会社ふくおかフィナンシャルグループ']"
1,サステナ,3,"['株式会社あおぞら銀行', '株式会社三井住友銀行', '株式会社三井住友フィナンシャルグループ']",19,"['株式会社滋賀銀行', '株式会社中国銀行', '株式会社ゆうちょ銀行', '株式会社三井住友銀行', '株式会社三井住友フィナンシャルグループ', '株式会社東京きらぼしフィナンシャルグループ', '株式会社新生銀行', '株式会社あおぞら銀行', '株式会社\u3000群馬銀行', '株式会社第四北越フィナンシャルグループ', '三井住友信託銀行株式会社', '三井住友トラスト・ホールディングス株式会社', '株式会社ひろぎんホールディングス', '株式会社\u3000りそなホールディングス', '株式会社りそな銀行', '株式会社琉球銀行', '株式会社トマト銀行', '株式会社\u3000富山第一銀行', '株式会社京都銀行']"
2,ESG,2,"['株式会社新生銀行', '株式会社あおぞら銀行']",2,"['株式会社あおぞら銀行', '株式会社\u3000群馬銀行']"
3,SDGs,3,"['株式会社\u3000りそなホールディングス', '株式会社りそな銀行', '株式会社あおぞら銀行']",5,"['株式会社中国銀行', '株式会社あおぞら銀行', '株式会社\u3000群馬銀行', '株式会社\u3000りそなホールディングス', '株式会社りそな銀行']"
4,ダイバーシティ,4,"['株式会社中国銀行', '株式会社\u3000りそなホールディングス', '株式会社りそな銀行', '株式会社ひろぎんホールディングス']",5,"['株式会社中国銀行', '株式会社商工組合中央金庫', '株式会社ひろぎんホールディングス', '株式会社\u3000りそなホールディングス', '株式会社りそな銀行']"
5,多様性,3,"['株式会社東京スター銀行', '株式会社東京きらぼしフィナンシャルグループ', '株式会社\u3000北日本銀行']",9,"['株式会社ゆうちょ銀行', '株式会社三井住友銀行', '株式会社東京スター銀行', '株式会社三井住友フィナンシャルグループ', '株式会社東京きらぼしフィナンシャルグループ', '株式会社みずほフィナンシャルグループ', '株式会社みずほ銀行', '株式会社商工組合中央金庫', '株式会社\u3000北日本銀行']"
6,パーパス,0,[],2,"['三井住友信託銀行株式会社', '三井住友トラスト・ホールディングス株式会社']"
7,存在意義,0,[],2,"['三井住友信託銀行株式会社', '三井住友トラスト・ホールディングス株式会社']"
8,ウェルビーイング,0,[],0,[]
9,well-being,0,[],0,[]
10,Well-being,0,[],1,['株式会社商工組合中央金庫']
11,幸福,0,[],0,[]
